"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"562","Tyus Jones","Mem","G","26.9","69","23.8","18","9.8","89","0.82","334","0.488","276","0.377","0.523","0.548","10.3","2.4","4.8","1","0.1","1","12.7","15.1","17.6","8.3","120.9","113.8"
"563","Udoka Azubuike","Uta","C-F","23.5","26","5.9","11.6","25.6","8","0.25","29","0.828","0","0","0.828","0.769","1.9","2.2","0.2","0.2","0.3","0.4","4.1","2.2","4.3","6.4","124.5","106.5"
"564","Udonis Haslem","Mia","F","42.8","6","7.6","12.5","0","2","0.5","10","0.1","2","0","0.083","0.116","0.5","1.3","0","0.2","0.2","0","1.8","0.5","1.8","0","51.1","97.8"
"565","Usman Garuba","Hou","F","21","63","13.1","10.4","21.2","42","0.595","104","0.519","44","0.523","0.598","0.607","3.2","4.3","0.9","0.6","0.4","0.6","7.5","4.1","8.4","7.1","122.7","104.6"
"566","Vernon Carey Jr.","Was","F-C","22.1","11","2.6","16.7","19.2","2","1","8","0.25","0","0","0.25","0.338","0.5","1","0.3","0.2","0.2","0.2","1.5","0.8","1.8","8.2","",""
"567","Victor Oladipo","Mia","G","30.9","37","27","20","17.6","71","0.761","170","0.471","177","0.316","0.473","0.505","10.3","3.2","3.4","1.4","0.3","2","13.5","13.8","16.9","7.1","98.3","105.2"
"568","Vince Williams Jr.","Mem","G","22.5","11","4.7","11.9","6.7","0","0","4","0.5","10","0.2","0.357","0.357","0.9","0.6","0.3","0.4","0.1","0.1","1.5","1.2","1.8","4.6","88.8","101"
"569","Vit Krejci","Atl","G","22.7","23","5.4","11.5","12","2","0.5","11","0.545","18","0.278","0.466","0.469","1.2","0.7","0.5","0.1","0","0.2","1.9","1.7","2.4","5.5","103.1","111.7"
"570","Vlatko Cancar","Den","F","25.9","51","15.7","13.8","13.3","34","0.912","103","0.583","105","0.4","0.591","0.621","5.4","2.3","1.4","0.4","0.2","0.6","7.7","6.9","9.1","6.6","121.5","108.6"
"571","Walker Kessler","Uta","C","21.6","65","22.5","12.8","13.6","131","0.542","335","0.722","2","0.5","0.723","0.707","8.6","8.3","0.8","0.4","2.3","0.8","16.9","9.4","17.7","6.8","139.8","106.5"
"572","Wendell Carter Jr.","Orl","C-F","23.9","47","29.9","21","16.2","171","0.737","336","0.622","175","0.337","0.582","0.615","15.3","8.8","2.5","0.4","0.6","2.1","24.1","17.8","26.6","9.3","117.5","106.3"
"573","Wendell Moore Jr.","Min","G","21.5","26","5.6","14.4","16.9","5","0.8","22","0.636","17","0.118","0.436","0.461","1.5","0.6","0.7","0.3","0.2","0.3","2.1","2.2","2.8","6.1","95.7","109.1"
